abandon   5234
balm   2967, 5302, 5794
balmy   3320
band   3215, 6835, 7019
banded   2114, 6289
bandite   2681
bands   4510, 6145
bane   5176, 5479
banefull   2799
banish   2665, 2987
bank   2600, 2817, 3200, 5116
banks   975, 1775, 3251, 3322, 6871
banquets   2996
bar   4996, 5261
barbarous   2824, 3672
barbers   6346
bard   2251
bards   1388, 1881
bare   1607, 2892, 6054
barge   2147
bark   1930, 2601
barking   2481
barn   1161
barnett   303
barons   1229
barr   2590, 3797, 4799
barren   1183, 4577
barrennes   980
barrenness   5480
base   106, 604, 2875, 2993, 3075, 5543, 5544
based   79
basks   1222
bastards   3023
bate   3934
bathe   3110
batt   1855
battail   42, 2936
battails   500
battel   5409, 5723, 6308
batter   700
batteries   5533
battle   174
battlements   1187
bauk   3850
bawle   3678
bay   2025
bayona   1994
bays   55, 147, 152, 973
bea   1532
beads   2641
beaked   1924
beam   2311, 2715, 5196, 5277, 6298
beaming   435
beams   579, 1280, 1404, 1682, 2003, 3719
bear   540, 780, 849, 1359, 1836, 2276, 2941, 3764, 3935, 5264, 5307, 6068, 6561
bearded   2277
bearers   1090
bearing   3138, 5799, 6103
bears   4529, 4807, 5170, 5903, 6133, 6498
bearth   4248
beast   2802, 5150, 5241, 6621
beasts   2302, 4268, 4342
beat   2356
beauties   1292, 3429
beauty   1189, 1981, 2643, 3035, 3041, 6165
because   23, 141, 181, 230, 3834, 4109, 4251, 4734, 6459, 6620
beckning   2426
becks   1138
become   40, 5186, 5269
becoming   2620
bed   958, 1064, 1087, 1225, 1256, 2001, 2320, 3193, 3402, 3429, 3572, 3818, 4146, 4818, 5719, 5955, 6185
bedeckt   5856
bedew   3624
beds   1131, 3327, 4058
bee   1414
beeching   5
been   9, 11, 96, 158, 160, 168, 308, 1759, 2086, 2111, 2116, 2137, 2157, 2981, 3088, 3372, 3843, 4611, 5008, 5158, 5211, 5329, 5506, 5626, 6088, 6248, 6271, 6661
befall   5503, 5577
befit   760
befits   1766
before   220, 244, 589, 791, 885, 947, 982, 1162, 1438, 1462, 1829, 2048, 2128, 2207, 2281, 2941, 3457, 3510, 3536, 3540, 3722, 4111, 4582, 4645, 4662, 4702, 4778, 4779, 4959, 5026, 5044, 5088, 5112, 5586, 5596, 5651, 6028, 6325, 6516, 6543, 6670, 6699, 6700, 6793, 6877, 6879, 6885, 6930, 6936
befriend   767, 2348, 3568
beg   2158, 2905, 5851
began   513, 2819, 3502, 4326
beget   2962
begged   2113
beggery   5182
begin   81, 856, 1151, 1840, 1842, 2338, 2425, 2715, 5344, 5395, 6596
begins   258, 656, 1170, 1403, 5066
begot   4260
begott   6963
begotten   3984
beguil   5907
beguild   801
begun   806, 5027, 5029
behalf   5042
beheld   6783, 6903
behind   3715, 5488, 5865, 6009, 6495, 6588, 6879
behold   177, 194, 1339, 1710, 2965, 3294, 4222, 4255, 4346, 5323, 5466, 5852, 5888, 6698, 6783, 6869, 6906
behoofe   3449
bei   1543
being   159, 1043, 1049, 1080, 2214, 2618, 2724, 3391, 3589, 5053, 6037
bekerev   4450
bel   1474, 1500
beldam   3550
beleeve   41, 2435, 2693
belief   769, 5231, 6773
believe   3516, 5741, 5980
bella   1493
bellerus   1992
bellezza   1532
bellies   1945
bells   1203
belmans   1355
belongs   1952, 2291
below   242, 549, 1434, 3030, 3453, 3480, 3589
bels   1967
bemoan   5077
ben   1476, 1537
bench   3794
bend   1670, 3344, 4413, 4435, 4783, 4965
bended   4217
bending   524
bends   3209, 4253
beneath   567, 748, 1841, 2000, 6693, 6913
benefit   5142
benighted   2366, 2632
benizon   2578
benjamins   4296
benjamite   4162
bent   3559, 3578, 3757, 6713
benumming   5773
bereav   5198, 6489
bereaving   1025
bereft   2502, 3930, 5161
berries   1827, 2261, 2405
beryl   3248
beseech   5899
beseem   1290
beset   5378
besetting   3160
beside   867, 1388, 2522, 3266
besides   920, 969, 1959, 2224, 3916, 5332, 5571, 5996, 6570
besiege   3451
besotted   3075
besought   4416
bespake   529, 1943
besprent   2816
best   162, 203, 767, 2144, 2164, 2234, 2390, 2550, 2625, 2748, 2847, 3220, 3486, 3530, 3697, 3718, 3763, 3764, 3914, 4591, 5030, 5043, 5061, 5062, 5064, 5067, 5376, 5438, 5645, 5907, 5998, 6063, 6193, 6198, 6225, 6346, 6458, 6650, 6756, 6983, 7011, 7014
bested   1275, 3030
bestow   3986, 4658
bestowed   2106
betake   2598
betakes   2267
bethink   3123
betimes   3802
betrai   2992
betray   5146, 5508, 5512, 5528, 5898, 5990, 6102, 6285
better   394, 1620, 1779, 1896, 2336, 3072, 3909, 3941, 4589, 4903, 5298, 5719, 5725, 5946, 6342
between   31, 624, 4292, 4293, 5024, 6891
betwixt   1054, 1192
bewail   5265, 5298, 6113
bewailing   7007
bewails   1820
bewayl   3393
beyond   1988, 3111, 4963, 5058, 5231, 5662
bid   529, 595, 1156, 1377, 1603, 1678, 1847, 1966, 1981, 2650, 3722, 6126, 6508, 6609
bidden   1949
bidding   3765
bide   4574
biding   4099
bids   2306, 5639
bidst   4955
big   4223
bill   1462
billows   3247
bin   928, 1098, 1341, 1885, 2152, 5038, 6026, 6492
bind   1198, 3626, 3899, 4501, 5433
bird   1333, 1465, 6963, 6971
birds   518
birth   404, 727, 921, 931, 947, 983, 1124, 2073, 3568, 5136, 5285, 5660, 6312, 6652
bites   1723
bitter   635, 1830, 2613, 5973
bitterly   5562
blab   5628
blabbing   2351
black   772, 1288, 1289, 2268, 2583, 3483, 3630, 5742, 5765, 6132, 6310
blackest   711, 1112
blade   2933
blame   482, 943, 2780, 4121, 5999, 6988
blanch   2137
blandisht   5532
blank   2707, 4154, 5602
blasphem   5572
blasphemes   3076
blast   647, 1927, 2922, 6131
blasted   399, 3387
blasting   1719
blasts   3148
blaz   5663
blaze   435, 1666, 1744, 1903, 4537, 4714, 5193
blazing   986
bleak   2492, 3390
blear   2371
bled   4524
bleed   3878, 4525
bleeds   854
blemish   3929
bless   600, 1356, 1730, 3481, 3653, 3948, 4125
blessed   457
blessing   1004, 4028, 5485
blessings   3069, 3573
blest   879, 2010, 2491, 2572, 3437, 4589, 4601
blew   372, 1131, 1721, 2026, 2689, 3204
blind   1904, 1950, 2400, 2793, 3941, 4425, 5074, 5181, 5494, 5568, 5702, 6097, 6281, 6529, 6699, 6951
blindness   235, 3925, 5313, 5547, 6405, 6949
blisfull   560
bliss   654, 824, 863, 1628, 2486, 3037, 3111, 3393, 3717
blisse   7051
blissful   3339, 3539
blith   1134
blithe   1175, 2261
blood   504, 781, 2963, 3108, 3683, 3743, 3894, 4504, 6744, 6991
bloodi   4103
bloody   46, 3740, 4794
bloom   2526, 6830
blooming   2644
bloomy   1457
blossom   957, 1579, 4655
blossome   3390
blossoms   2646
blot   2346, 3401, 5540, 6137
bloudy   48
blow   604, 889, 1433, 3322, 4382
blowing   5123
blown   1132, 1400, 3387, 6238
blows   1875, 1924
blu   2235
blue   714
blunders   26, 291
boar   4340
boars   6315
boast   1004, 2281, 2497, 2954, 3470, 6278, 6303
boasted   5601
boaster   6413
bocca   2132
bodies   5750
body   2728, 5131, 5165, 5273, 6970, 6990
boist   6468
boistrous   3398
bold   1229, 1382, 2111, 2137, 2647, 2888, 3911, 4455, 4514, 4969, 5252, 6330, 6557
boldly   2931
bolt   2700, 3057
bolted   6960
bond   5540
bondage   5266, 5391, 5392
bonds   3976, 5155, 6004
bondslave   5151
bone   4025, 5257
bones   1013, 1987, 3734, 4138, 6320
bonnet   1935
book   16, 102, 268, 271, 275, 304, 1023, 2615, 3649, 3738, 5022
books   73, 161, 2641, 5797
boosom   42, 985, 1188, 2229, 3315
boosoms   2616
boots   1062, 1893, 5699
bordering   6135
borders   5876
bore   868, 981, 1126, 1296, 1886, 1941, 2915, 5260, 7018
born   426, 468, 584, 880, 1112, 1643, 2796, 2969, 3339, 3420, 3606, 3675, 4757, 4760, 4765, 4915, 4968, 5124, 5520, 6830
borrow   851
borrower   2976
bosky   2555
bosom   5911
both   62, 304, 306, 326, 363, 386, 390, 637, 702, 946, 1142, 1233, 1470, 1637, 1638, 1647, 1851, 1853, 2033, 2119, 2655, 3650, 3917, 4078, 4211, 4450, 4529, 4596, 4766, 4807, 5018, 5138, 5146, 5848, 5926, 6132, 6186, 6339, 6689, 6736, 6846, 6879, 6894
bottom   1990, 2806, 3136
boughs   1720
bought   6922
boulster   2600
bound   658, 756, 802, 2952, 3119, 5382, 5493, 5568, 5859, 6367, 6393
bounds   2966, 3919, 3988, 4509, 6979
bounteous   1001, 2395
bounties   3006, 3316
bourn   2555
bout   1249
bow   623, 1343, 2696, 3321, 3344, 3578, 4217, 4435, 4702, 5842, 6907
bower   1376
bowes   2596
bowle   1216
bowr   1715, 2251, 3233, 4656
bowre   1197, 1602
bowres   1299, 2810, 3313
bows   4330
boy   1396, 2172
boys   4898
boyst   6343
brackly   2050
bracly   2067, 2095, 2198
brag   3041
braid   2318
braids   3168
brain   1277
brains   6430
brake   645
brakes   2363
branch   4350
branches   3295, 4332, 4335
branching   1763, 7000
brand   3877, 6126
brandish   2933
brass   1386, 6296, 6297
braveries   6433
bravery   5861
brazen   5148, 5246
bread   4308, 4309, 5712
break   2361, 2738, 2933, 3114, 3975, 4806, 4807, 5230, 5898, 6557, 6887
breaker   6367, 6393
breaking   1639, 6291
breaks   2690, 6214
breast   6987
breasts   7004
breath   925, 1082, 1095, 1423, 1726, 2468, 5123, 5771, 6059, 6302, 6797
breathed   671
breathes   1128
breathing   1082, 1702, 2829
bred   1274
breed   2373, 2489, 3474, 3875
breeding   5143
brest   214, 1183, 2469, 2629, 3223, 5752
brethren   3584, 5458, 6633, 6667
brethrens   751
brew   2991
briar   1157
bridal   6380
bride   3337, 5444, 6182, 6382
bridegroom   1627
bridgewater   2050, 2068
bridle   3194
brief   6823
briefly   2785
brigandine   6296
bright   450, 540, 844, 888, 977, 985, 997, 1231, 1285, 1295, 1601, 1684, 1697, 1856, 2209, 2630, 2915, 3292, 3439, 4068, 4256, 4292, 4597, 6937
brightest   3222
brim   2332
brimmed   3239
brinded   2698
brine   1928
bring   427, 970, 1135, 1323, 1404, 1438, 1765, 1781, 1974, 2405, 2544, 3316, 3522, 3581, 3988, 4120, 4379, 4380, 4430, 5299, 5399, 5653, 6087, 6421, 6774
bringing   403, 6665
brings   1926, 3542, 3870, 4874, 6229, 7013
brisk   2964
bristles   6314
britain   4947
brittish   3795
bro   2577, 2589, 2607, 2635, 2659, 2670, 2673, 2732, 2737, 2740, 2742, 2747, 2750, 2761, 2763, 2780, 2785, 2855, 2860, 2895, 2940
broad   1617, 1909, 2601, 3308, 6296
brok   3873, 4337
broke   1047, 1640, 4027, 6372
broken   6538
brood   1274, 3462, 4065, 4502, 6439
brooding   518, 1116, 4567
brook   1411, 2332, 2764, 4518, 5695
brooks   1186, 1969, 4768, 6548
brother   2193, 2194, 2199, 2607, 2659, 2675, 2761, 2859
brothers   2401, 2445, 2524, 2575, 3113, 3277, 3591
brought   404, 2079, 2264, 2776, 2901, 3293, 3815, 3827, 4226, 4320, 4414, 5039, 5390, 5504, 5580, 5582, 5584, 5971, 6027, 6114, 6267, 6843, 6862, 6876
brouze   4342
brow   1118, 1330, 2806, 4252, 4306, 6241
brown   1210, 1406, 1826
brows   2244, 3032
bruis   3989, 4834
brunt   5723
brush   1720
brute   2706, 2995, 3094, 3131, 5817, 6468
brutish   715, 2276
brutus   4950, 4962
bruz   4836
buck   1812
bucksom   1134
bud   938, 1579, 4655
budge   3003
buds   2964
buffet   6428
build   1835, 6998
building   6866
built   1020, 1931, 2875, 4567, 6237
buisnesse   3359
bulk   6427
bull   1054
bulls   6934
buon   1499, 1504
buono   1565
burden   3806, 4394, 5561
burdenous   5706
burdensom   1094, 5167
burial   948, 5217
buried   5214, 5216
burlando   1514
burn   851, 4621, 5139
burning   540, 711, 888, 4620
burns   2343
burrs   2599
burst   1903, 6797, 6912
bushy   2554
busie   551, 1228
busines   2175, 2385
business   3361, 3561
buskind   1374, 1703
bustle   2627
but   20, 25, 31, 55, 80, 85, 103, 116, 127, 136, 141, 150, 166, 179, 188, 223, 238, 273, 276, 293, 302, 383, 394, 489, 511, 528, 590, 632, 656, 729, 816, 860, 870, 936, 943, 957, 990, 1057, 1089, 1097, 1121, 1283, 1289, 1309, 1323, 1375, 1397, 1427, 1579, 1623, 1731, 1789, 1864, 1902, 1905, 1910, 1918, 1957, 1961, 2005, 2125, 2221, 2224, 2233, 2242, 2247, 2263, 2281, 2288, 2297, 2302, 2344, 2384, 2410, 2415, 2423, 2429, 2437, 2445, 2462, 2485, 2497, 2516, 2562, 2590, 2597, 2612, 2631, 2643, 2673, 2699, 2705, 2718, 2720, 2734, 2777, 2793, 2822, 2836, 2851, 2854, 2865, 2866, 2869, 2875, 2878, 2889, 2912, 2914, 2915, 2924, 2926, 2935, 2938, 2949, 2975, 2982, 2998, 3010, 3018, 3036, 3051, 3054, 3066, 3075, 3107, 3109, 3115, 3273, 3332, 3341, 3358, 3362, 3372, 3387, 3393, 3412, 3422, 3480, 3486, 3514, 3521, 3525, 3557, 3670, 3677, 3682, 3716, 3761, 3826, 3846, 3853, 3875, 3889, 3908, 3935, 3951, 3958, 3980, 4011, 4047, 4066, 4104, 4207, 4279, 4346, 4352, 4436, 4470, 4643, 4644, 4724, 4758, 4790, 4828, 4863, 4927, 4931, 5028, 5045, 5060, 5122, 5134, 5158, 5159, 5163, 5166, 5170, 5173, 5179, 5214, 5219, 5223, 5249, 5287, 5309, 5353, 5362, 5370, 5375, 5382, 5389, 5415, 5422, 5423, 5430, 5450, 5479, 5500, 5504, 5511, 5539, 5551, 5598, 5610, 5630, 5637, 5638, 5651, 5656, 5697, 5705, 5721, 5734, 5753, 5758, 5762, 5784, 5804, 5822, 5833, 5854, 5873, 5877, 5882, 5886, 5894, 5902, 5909, 5917, 5923, 5931, 5951, 5973, 5983, 5986, 6009, 6025, 6032, 6039, 6043, 6047, 6050, 6125, 6139, 6177, 6194, 6208, 6214, 6225, 6229, 6263, 6278, 6305, 6346, 6379, 6392, 6395, 6399, 6416, 6422, 6437, 6456, 6470, 6482, 6489, 6527, 6576, 6583, 6662, 6674, 6688, 6772, 6785, 6797, 6802, 6805, 6826, 6852, 6864, 6884, 6916, 6927, 6951, 6959, 6980, 6985, 6988, 7016, 7043
buy   388
bygone   77
cabin   2353
caddi   1529
caesar   5027
calamities   5799, 6532
calamitous   5852, 6706
calculam   1807
caldo   1547
call   713, 815, 1381, 1469, 1599, 1966, 2212, 2344, 2693, 2864, 2920, 3602, 3649, 3713, 3845, 4035, 4363, 4399, 4681, 4687, 4693, 5005, 5049, 5054, 5059, 5156, 5345, 5986, 6250, 6742, 6941, 7042
called   283, 290
calling   2426, 2745
calls   215, 942, 3558, 5041
calm   518, 1317, 1928, 2210, 2619, 5746, 6123, 7024
calmly   4619
cam   2766, 3459, 6413, 6533
camb   1610, 1650, 3664, 3725
camball   1383
cambridge   94, 98, 245, 264, 1054, 3662, 3705, 3858, 7033
cambuscan   1382
came   491, 935, 944, 975, 1920, 1939, 2120, 2410, 2531, 2772, 2781, 2929, 3549, 3822, 4156, 5091, 5256, 5379, 5463, 5880, 6002, 6671, 6885, 6911, 6956
camp   6258, 6657, 6725
camus   1934
can   203, 387, 669, 850, 1598, 1600, 1742, 1749, 2365, 2446, 2467, 2561, 2713, 2889, 2892, 2962, 2998, 3057, 3155, 3324, 3342, 3345, 3349, 3427, 3513, 3514, 3582, 3599, 3786, 3875, 4143, 4824, 4903, 4917, 4918, 4919, 4940, 5080, 5238, 5438, 5703, 5723, 5770, 6167, 6176, 6215, 6313, 6391, 6417, 6458, 6486, 6538, 6772
canaanite   5509
canace   1384
candid   75
candle   2584
cangio   1500
canker   1723, 1872
cannot   301, 309, 2445, 2571, 3121, 3586, 4665, 5550, 5882, 6051, 6452, 6520, 6646
canon   3106
canons   3565
canopied   2818
canst   1261, 2458, 2955, 3486, 5618, 5639, 5853, 6853
cantabrigiae   1811
cantar   1536
canti   1482
canto   1499
canzon   1520
canzone   1506
cap   4988
capacity   6192
caphtor   6978
capital   58, 61, 64, 5523, 6410
captain   1594
captains   6914
captiv   5146, 5838
captive   5074, 5461, 5494, 5556, 6610, 6699, 6864
captivitie   3556
captivity   4612, 5221, 7009
car   2308, 6715
care   301, 952, 1141, 1624, 1893, 1947, 2212, 2776, 2899, 3410, 3805, 4749, 5744, 6073, 6078, 6084
career   1393, 1578
careful   8, 5451
carefull   3449
carefully   286
careless   190
carelessly   5232
cares   1245, 5954
carkass   6270
carkasses   5837
carnal   2729
carnation   953
carpathian   3179
carr   3407
carriage   1056
carried   168
carrier   1042, 1090, 1098
carries   6241
carrol   3152
carry   1088, 2159
carrying   5514
cart   1092
case   137, 284, 5041, 7039
casella   3702
cases   43, 103
casket   788
cassia   3320
cast   594, 1315, 1966, 2608, 2715, 3976, 4209, 5462, 5784
casting   1432, 3677, 5375
castle   2045, 2185, 3276
casts   659, 2444
catalogued   288
cataphracts   6880
catastrophe   5096
catch   3269
cateres   51
cateress   52, 3061
catherine   3726
caught   1179, 6088
caus   5721, 5942
cause   2752, 3091, 4203, 4302, 4318, 4366, 4457, 4624, 4634, 4862, 4930, 5271, 5353, 5440, 5505, 5604, 5724, 6057, 6360, 6447, 6520, 6554, 6592, 6842, 6845, 6974
causless   5845
cautious   5905
cave   1113, 2461, 3625, 5202
caverns   2684
caves   1866
ceas   2825
cease   489, 3491, 3595, 4203, 4485, 4624
ceaseless   4782
ceast   1080, 3410
cedar   3319
cedars   4330
cela   1551
celeberrimae   1812
celebrate   1750, 4143, 5565
celebrated   6017
celestial   905, 1733, 3333, 6475
celestiall   625
cell   672, 1115, 1441, 2637, 4081
celtic   2266
censure   407, 5936
censuring   6104
center   648, 1685, 2157, 2630
century   50
cerberus   1112
certain   2122, 2489, 2742, 2846, 2901, 3665, 4956, 5078, 5606, 5867, 6275
certaine   3884
certainly   98, 112, 278
certainty   2486
certo   1543, 1563
cessation   5076
cetra   1571
chaein   1804
chaeronea   1641
chaf   6315
chafe   6437
chaff   3958
chain   2950, 5120
chaines   3899
chains   1253, 2690, 3102, 3556, 5181, 6427
chair   2347, 2946
chaire   3411
challenge   2135, 6329
chalybean   5247
chamber   2314, 6288
chamberlin   1060
champion   2431, 5694, 5849, 6330, 7017
chanc   6386
chance   835, 1595, 2502, 2778, 2864, 5117, 6073, 6247, 6490, 7062
chances   2285, 5800
chang   2275
change   40, 123, 211, 1864, 2216, 2571, 2872, 3144, 3423, 4391, 4810, 5231, 5468, 5839, 5901, 6624
changed   3629
changes   2943, 3275
changest   5828
channel   595
channell   3205
chaos   2580
chappel   334
character   32, 2804, 4280
characters   793
charg   2118
charge   2238, 3059, 3852, 6000
chariot   503, 777, 3202
charioter   3397
charioting   5140
charm   1355, 3055, 6311
charmed   518, 2257, 3215
charming   2300, 2732
charms   1598, 2366, 2891, 2956, 3156, 5557, 6090, 6204
charnell   2726
charybdis   2482
chase   4539
chast   2362, 2705, 4867
chaste   2697, 3230
chastity   2434, 2675, 2680, 2695, 2708, 3079, 3221
chat   2155
chatting   546
chaunting   6935
chauntress   1335
che   1478, 1480, 1483, 1487, 1494, 1532, 1536, 1539, 1544, 1549, 1550, 1561
chear   6081, 6874
chearing   2595
chearly   1164
cheat   2371
chebar   778
check   3058, 4509
checks   1331
cheek   1139, 1379, 3392, 3660, 4025
cheeks   3046, 4311
cheer   4581
cheerful   3807
cheerfull   2638, 4380
cheers   5681
cheif   2197, 3888
chequer   1206
cherchef   1397
chere   3271
cherish   6116
cherub   779, 1326
cherubick   890
cherubim   580
cherubs   4292
chester   1821
chewing   2814
chi   1485, 1504, 1546
chiaman   1550
chid   2481
chide   3759, 4625
chief   1091, 3389, 5179, 5588, 5692, 5902, 6441
chiefest   1323, 3522
chiefly   4492, 5055, 6674
child   3490, 3818, 6098
childe   468, 1243
childish   3507
childless   3402
children   3016, 3060, 5480
chill   693, 1719, 2599
chime   602, 898, 3350
chimera   2791
chimney   1191, 1221
chioma   1517
cho   5872
choice   397, 2141, 3782, 4421, 5116, 5435, 5693, 5776, 6194, 6915, 7008
choicest   3526, 5385
choises   5550
choose   1448
chooses   5647
chor   5229, 5294, 5328, 5357, 5399, 5417, 5465, 5677, 5691, 5796, 6157, 6165, 6174, 6229, 6233, 6245, 6435, 6443, 6463, 6506, 6556, 6573, 6580, 6594, 6606, 6648, 6678, 6698, 6712, 6733, 6742, 6750, 6756, 6769, 6776, 6922, 7011
chorus   24, 5023, 5044, 5049, 5052, 5079, 5092, 5109
choruses   279
chose   440, 4049, 4050, 6029, 6144, 6377
chosen   1621, 5496
choyce   4095
christ   3839, 5033
christian   3726
christs   419
church   348, 2063, 4887, 5031
chuse   3533, 4052, 6704
chush   4162
ciascun   1484
cicero   5017
ciel   1504
ciglia   1533
cimmerian   1120
cinal   2918
cingite   339
cinnamon   3252
cipres   1307
cipress   40, 938
circe   2256, 2369, 2476, 2796
circes   2256
circle   1601, 1681, 3372
circling   6023
circular   578
circumcis   6134
circumcision   841
circumscription   5065
circumstance   6800
circumstances   224
circumvent   6291
cite   5018
cities   1227
city   1611, 4750, 6378, 6671, 6806, 6857, 6916
civil   1394, 6004, 6578, 6691
civill   3838, 3917
clad   989, 1766, 2676, 3079, 3471, 3719, 5243, 6515, 6877
clamouring   6882
clang   643
clasping   3156
classic   3840
clatter   6300
clay   440, 2585
cleansing   6992
clear   172, 397, 1236, 1899, 3018, 3825, 3928, 4374, 4769, 5687
cleard   3877
clearly   3852
cleaving   6203
cleer   1435, 2712
clergy   1823
climb   1946
clime   832, 1601, 1690, 3349, 7059
climes   3306
clip   3850
cloath   3536
cloathing   3591
clock   7039
cloggs   3670
clos   1879
close   562, 1411, 1461, 2129, 2416, 2596, 2822, 2828, 3650, 5121, 5794, 6289, 7014
closely   104
cloth   3780
clotted   2722, 6993
cloud   803, 1344, 1397, 2440, 2442, 2579, 3888, 4294
cloudless   6960
clouds   494, 626, 645, 847, 1172, 1184, 2540, 4403
cloudy   2347
clouted   2917
clov   1860
clowdie   3463
cloy   4073, 4784
cloysters   1428
clusters   2535
clustring   2260, 5708
coaly   3611
coarse   3428
coast   4515
coasting   2255
coasts   4570
cock   1159, 1224, 2593
coffers   3535
coin   5306, 6388
coincide   200
col   1500
colchester   3863
cold   2600, 3100, 3230, 3412, 3735
colkitto   3657
collaborated   297
colle   1491
collect   384
collection   4855
colledge   2103, 3500
college   94
colma   1556
colonel   1594
colour   770, 885
colours   2539, 6053
colui   1476
column   5140
com   549, 1093, 1121, 1143, 1155, 1207, 1303, 1309, 1370, 1693, 1827, 2338, 2356, 2757, 3031, 3104, 3254, 3259, 3272, 3276
comb   3187
combat   6281, 6330, 6356
combatant   5472
combated   6015
combines   6212
come   1058, 1545, 2303, 3513, 3561, 3571, 4298, 4494, 4664, 4701, 5090, 5225, 5296, 5322, 5574, 5848, 5870, 5934, 6247, 6259, 6415, 6456, 6514, 6520, 6533, 6545, 6594, 6612, 6614, 6622, 6670, 6817, 6944, 6973
comely   2281, 6463
comes   269, 998, 1904, 2384, 2751, 3115, 3358, 3362, 4385, 4871, 5076, 5095, 5450, 5857, 6238, 6243, 6499, 6662
comfort   4735, 5080
comic   5036
coming   301, 2241, 3270, 5042, 5087, 5304, 6612, 6674
comliness   6175
comly   1397
comma   143
command   410, 2166, 2247, 4191, 5170, 6396, 6584, 6611
commanded   6003
commanding   4267
commands   6540, 6585, 6622, 6901
commend   1234, 2121, 5368
commendations   389
commended   3134
commentary   2163
commenting   5021
commercing   1311
commit   2163
commits   26, 2231
committed   5160, 6161, 6368
committee   3884
committing   3693
common   2129, 5035, 5075, 5119, 5818, 5926, 6007, 6340, 6636
commonly   5059
company   2498, 2778, 6633
compar   5571, 6184
comparatively   20
compare   137, 5694
comparing   99, 5595
